,player_id,fantasy_points_ppr
880,00-0034646,107.5
881,00-0034652,58.899998
882,00-0034653,37.5
883,00-0034654,2.6000001
884,00-0034660,14.599999
885,00-0034672,2.8
886,00-0034676,366.1
887,00-0034679,54.5
888,00-0034681,534.2
889,00-0034684,4.2
890,00-0034686,150.9
891,00-0034705,1.1
892,00-0034710,1.8
893,00-0034721,0.0
894,00-0034726,0.6
895,00-0034735,4.0
896,00-0034747,51.0
897,00-0034750,325.9
898,00-0034751,6.0
899,00-0034753,1017.3
900,00-0034764,723.9
901,00-0034765,444.2
902,00-0034766,202.6
903,00-0034771,145.54001
904,00-0034772,153.2
905,00-0034773,7.1
906,00-0034775,942.52
907,00-0034777,541.4
908,00-0034788,35.4
909,00-0034791,1187.9
910,00-0034794,7.1
911,00-0034796,1458.76
912,00-0034798,196.3
913,00-0034799,191.1
914,00-0034808,14.3
915,00-0034816,482.6
916,00-0034827,1037.6
917,00-0034829,608.2
918,00-0034830,477.2
919,00-0034834,0.0
920,00-0034837,756.4
921,00-0034838,334.2
922,00-0034844,1116.0
923,00-0034845,628.9
924,00-0034854,116.2
925,00-0034855,1053.4
926,00-0034857,1904.48
927,00-0034860,246.18001
928,00-0034867,96.0
929,00-0034869,735.18
930,00-0034899,27.1
931,00-0034903,0.0
932,00-0034922,5.3999996
933,00-0034928,214.9
934,00-0034930,20.3
935,00-0034955,29.32
936,00-0034959,36.44
937,00-0034960,585.02
938,00-0034970,247.0
939,00-0034972,375.1
940,00-0034975,114.1
941,00-0034981,273.7
942,00-0034983,617.0
943,00-0034987,12.0
944,00-0034988,111.3
945,00-0034995,1.9
946,00-0035006,117.6
947,00-0035013,8.2
948,00-0035021,101.1
949,00-0035022,21.1
950,00-0035025,24.3
951,00-0035039,20.2
952,00-0035040,76.3
953,00-0035042,-2.5
954,00-0035045,6.6
955,00-0035099,18.3
956,00-0035101,2.7
957,00-0035102,1.6
958,00-0035104,6.6
959,00-0035120,24.3
960,00-0035125,110.4
961,00-0035126,59.8
962,00-0035133,6.0
963,00-0035140,559.9
964,00-0035146,17.98
965,00-0035148,66.0
966,00-0035149,7.1
967,00-0035156,1.76
968,00-0035161,0.6
969,00-0035181,10.7
970,00-0035184,24.4
971,00-0035187,23.0
972,00-0035190,0.0
973,00-0035208,279.7
974,00-0035215,207.6
975,00-0035216,881.10004
976,00-0035217,172.40001
977,00-0035222,76.6
978,00-0035223,6.0
979,00-0035228,1168.4
980,00-0035229,639.6
981,00-0035231,14.2
982,00-0035232,144.86
983,00-0035235,0.7
984,00-0035243,767.6
985,00-0035244,6.0
986,00-0035246,53.0
987,00-0035249,65.6
988,00-0035250,760.8
989,00-0035251,1.3199999
990,00-0035259,21.5
991,00-0035261,643.2
992,00-0035264,53.940002
993,00-0035268,63.8
994,00-0035272,6.0
995,00-0035273,50.7
996,00-0035275,0.9
997,00-0035277,6.0
998,00-0035282,-0.04
999,00-0035287,78.3
1000,00-0035289,460.18
1001,00-0035290,0.52
1002,00-0035291,36.2
1003,00-0035297,66.94
1004,00-0035298,233.5
1005,00-0035304,1.6
1006,00-0035308,40.5
1007,00-0035310,2.9
1008,00-0035311,378.6
1009,00-0035313,6.5
1010,00-0035327,8.599999
1011,00-0035328,0.0
1012,00-0035329,138.2
1013,00-0035341,74.0
1014,00-0035342,95.3
1015,00-0035345,30.2
1016,00-0035350,179.4
1017,00-0035356,11.2
1018,00-0035359,25.3
1019,00-0035374,3.5
1020,00-0035378,0.4
1021,00-0035399,8.2
1022,00-0035401,17.2
1023,00-0035406,69.9
1024,00-0035414,202.7
1025,00-0035428,0.9
1026,00-0035432,16.400002
1027,00-0035448,0.7
1028,00-0035457,84.9
1029,00-0035480,21.900002
1030,00-0035489,16.2
1031,00-0035500,122.0
1032,00-0035510,76.5
1033,00-0035527,96.700005
1034,00-0035529,0.0
1035,00-0035535,522.5
1036,00-0035537,283.3
1037,00-0035539,4.6
1038,00-0035544,40.5
1039,00-0035547,53.5
1040,00-0035548,8.5
1041,00-0035551,1.1
1042,00-0035553,1.5
1043,00-0035562,43.7
1044,00-0035567,67.7
1045,00-0035572,27.199999
1046,00-0035577,51.32
1047,00-0035588,4.9
1048,00-0035590,26.4
1049,00-0035592,115.9
1050,00-0035593,14.5
1051,00-0035594,174.4
1052,00-0035596,14.1
1053,00-0035597,2.1
1054,00-0035602,-0.3
1055,00-0035603,33.7
1056,00-0035609,2.2
1057,00-0035621,3.4
1058,00-0035624,173.1
1059,00-0035628,145.7
1060,00-0035631,109.2
1061,00-0035632,5.8
1062,00-0035639,234.1
1063,00-0035640,1030.6
1064,00-0035644,544.0
1065,00-0035645,51.1
1066,00-0035652,43.82
1067,00-0035654,6.0
1068,00-0035657,398.2
1069,00-0035659,871.7
1070,00-0035660,6.5
1071,00-0035662,763.8
1072,00-0035664,397.2
1073,00-0035665,0.0
1074,00-0035669,3.9
1075,00-0035671,39.9
1076,00-0035676,1036.5
1077,00-0035685,811.0
1078,00-0035686,1.0
1079,00-0035689,528.1
1080,00-0035700,993.9
1081,00-0035703,135.7
1082,00-0035704,301.2
1083,00-0035710,885.16
1084,00-0035715,56.399998
1085,00-0035719,902.66
1086,00-0035726,33.3
1087,00-0035752,18.740002
1088,00-0035760,1.2
1089,00-0035771,45.4
1090,00-0035806,159.5
1091,00-0035823,9.6
1092,00-0035831,512.9
1093,00-0035835,0.3
1094,00-0035844,2.3
1095,00-0035848,22.5
1096,00-0035859,0.0
1097,00-0035860,33.8
1098,00-0035864,92.16
1099,00-0035869,16.1
1100,00-0035876,11.5
1101,00-0035883,0.3
1102,00-0035889,1.16
1103,00-0035891,9.5
1104,00-0035898,0.0
1105,00-0035908,25.7
1106,00-0035912,2.6
1107,00-0035924,23.0
1108,00-0035939,15.44
1109,00-0035950,0.2
1110,00-0035956,18.0
1111,00-0035957,46.3
1112,00-0035973,23.0
1113,00-0035993,161.6
1114,00-0036000,0.0
1115,00-0036005,0.0
1116,00-0036008,5.4
1117,00-0036011,2.7
1118,00-0036020,129.6
1119,00-0036032,15.8
1120,00-0036036,7.1
1121,00-0036040,195.6
1122,00-0036059,7.7
1123,00-0036069,6.7999997
1124,00-0036080,1.5
1125,00-0036096,33.6
1126,00-0036100,7.0
1127,00-0036110,21.4
1128,00-0036133,50.8
1129,00-0036139,2.4
1130,00-0036142,48.3
1131,00-0036145,40.3
